iter	Passed	Remaining
464	766	881
465	768	880
466	769	878
467	770	876
468	772	874
469	773	871
470	774	869
471	775	867
472	777	865
473	778	863
474	779	861
475	781	859
476	782	857
477	783	855
478	785	854
479	786	852
480	788	850
481	789	848
482	790	846
483	791	844
484	793	842
485	794	840
486	795	838
487	797	836
488	798	834
489	799	832
490	800	830
491	802	828
492	803	826
493	804	824
494	806	822
495	807	820
496	809	819
497	810	817
498	812	815
499	813	813
500	815	812
501	816	810
502	817	808
503	819	806
504	820	804
505	822	802
506	823	800
507	824	798
508	826	796
509	827	795
510	829	793
511	830	791
512	831	789
513	833	787
514	834	785
515	835	784
516	837	782
517	838	780
518	840	778
519	841	776
520	843	775
521	844	773
522	845	771
523	847	769
524	849	768
525	850	766
526	852	765
527	853	763
528	855	761
529	856	759
530	858	757
531	859	755
532	860	753
533	861	751
534	862	749
535	863	747
536	865	745
537	866	743
538	867	741
539	868	739
540	869	738
541	871	736
542	872	734
543	873	732
544	875	730
545	876	728
546	878	727
547	879	725
548	881	724
549	883	723
550	885	721
551	887	719
552	888	718
553	889	716
554	891	714
555	892	712
556	893	710
557	894	708
558	895	706
559	897	704
560	898	703
561	899	701
562	901	699
563	902	697
564	903	695
565	904	693
566	906	691
567	907	690
568	908	688
569	910	686
570	911	684
571	913	683
572	915	682
573	917	680
574	919	679
575	920	677
576	922	675
577	923	674
578	924	672
579	926	670
580	927	669
581	929	667
582	930	665
583	932	664
584	933	662
585	934	660
586	936	658
587	937	657
588	939	655
589	940	653
590	942	652
591	943	650
592	945	648
593	946	646
594	947	645
595	949	643
596	950	641
597	951	639
598	953	638
599	954	636
600	955	634
601	957	632
602	958	631
603	960	629
604	962	628
605	963	626
606	965	625
607	966	623
608	968	621
609	969	619
610	970	618
611	971	616
612	973	614
613	974	612
614	975	610
615	977	609
616	978	607
617	979	605
618	980	603
619	981	601
620	982	599
621	984	598
622	985	596
623	986	594
624	987	592
625	988	590
626	989	588
627	990	586
628	991	584
629	992	583
630	993	581
631	994	579
632	995	577
633	997	575
634	998	573
635	999	572
636	1000	570
637	1002	568
638	1003	566
639	1004	565
640	1005	563
641	1007	561
642	1008	559
643	1009	558
644	1010	556
645	1011	554
646	1012	552
647	1013	550
648	1015	549
649	1016	547
650	1017	545
651	1019	543
652	1020	542
653	1021	540
654	1022	538
655	1023	536
656	1024	535
657	1026	533
658	1027	531
659	1028	529
660	1029	528
661	1030	526
662	1032	524
663	1033	522
664	1034	521
665	1035	519
666	1037	517
667	1038	515
668	1039	514
669	1040	512
670	1042	510
671	1043	509
672	1044	507
673	1045	505
674	1046	504
675	1048	502
676	1049	500
677	1050	499
678	1051	497
679	1053	495
