iter	RMSE
0	9743.872933
1	9353.11262
2	8984.639306
3	8638.010212
4	8295.675976
5	7971.379824
6	7657.783592
7	7405.293597
8	7123.178898
9	6879.527166
10	6621.225995
11	6391.972749
12	6174.7842
13	5981.057555
14	5768.572686
15	5568.818427
16	5397.836554
17	5219.995418
18	5074.212668
19	4905.432474
20	4753.479488
21	4609.316855
22	4473.916648
23	4341.057128
24	4216.995425
25	4102.364141
26	3989.185366
27	3876.364559
28	3777.969415
29	3678.349423
30	3574.478887
31	3494.25615
32	3416.368473
33	3342.607916
34	3265.341483
35	3188.41543
36	3113.634248
37	3053.250734
38	2993.202173
39	2931.298919
40	2870.494476
41	2812.823963
42	2749.455559
43	2698.38579
44	2639.140193
45	2590.355663
46	2550.703315
47	2511.30842
48	2470.684572
49	2425.736744
50	2379.739239
51	2339.245791
52	2305.745895
53	2278.809593
54	2244.165162
55	2214.796498
56	2188.551955
57	2163.499762
58	2137.172786
59	2114.118311
60	2077.533946
61	2052.692991
62	2030.887555
63	2012.259226
64	1991.114334
65	1971.199718
66	1951.020305
67	1933.584591
68	1917.454531
69	1902.573259
70	1887.951413
71	1867.863144
72	1845.299652
73	1829.192466
74	1807.767066
75	1792.444659
76	1778.255755
77	1764.027681
78	1744.414644
79	1732.237289
80	1723.307994
81	1710.008284
82	1698.300405
83	1687.563655
84	1674.529789
85	1665.018933
86	1651.991182
87	1642.162925
88	1631.189416
89	1619.960033
90	1613.142427
91	1603.956958
92	1597.672222
93	1592.158511
94	1583.419756
95	1570.184322
96	1559.937372
97	1546.111963
98	1538.029588
99	1530.641648
100	1522.420249
101	1516.416212
102	1509.165593
103	1503.4098
104	1499.214079
105	1493.648734
106	1485.974426
107	1479.757477
108	1466.276245
109	1458.007284
110	1449.081319
111	1437.830684
112	1426.891877
113	1423.159003
114	1413.667104
115	1406.626255
116	1398.816558
117	1394.010637
118	1385.584971
119	1376.54752
120	1367.284336
121	1362.533537
122	1355.370325
123	1350.406045
124	1345.391759
125	1341.27174
126	1332.743102
127	1324.943372
128	1320.61525
129	1316.662418
